Area,Instituicao,Modalidade,Inicio Doutorado_disc,Inicio Mestrado_disc,Docentes_disc,Dissertacoes_disc,Teses_disc,Di/Te_disc,TotalPeriodicos_disc,Total Qualificados_disc,A1_disc,A2_disc,B1_disc,B2_disc,B3_disc,B4_disc,B5_disc,C_disc,NC_disc,Conferencias_disc,Livros_disc,Capitulos_disc,Coletaneas_disc,Prod.Artistica_disc,Outros_disc,Conceito
Admin_CienContabeis_Tur,USP,Acad,"(1973.8, 1978.2]","(1974.7, 1979.6]","(41.2, 47.4]","(104.8, 126.4]","(90, 147]","[0.25, 0.972]","(369.2, 1543]","(346.2, 1119]","(7.2, 14.4]","(23.7, 31.6]","(84.7, 101.4]","(76.6, 95.4]","(83.5, 192]","(34.4, 43]","(59.8, 72.2]","(62, 277]","(53.7, 147]","(445, 1198]","(39.8, 48.8]","(169, 402]","(17.4, 21.6]","[0, 6.2]","(12.4, 15.5]",Sete
Admin_CienContabeis_Tur,UFMG,Acad,"(1991.4, 1995.8]","(1969.8, 1974.7]","(16.4, 22.6]","(56.8, 71]","(18, 27]","(2.719, 3.767]","(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","(24.2, 36.3]","(21.6, 32.4]","(15, 22.5]","(17.2, 25.8]","[0, 8.4]","(4.5, 9]","(10.2, 15.3]","(320, 445]","[0, 4.6]","(60.8, 76]","[0, 2.9]","[0, 6.2]","(6.2, 9.3]",Seis
Admin_CienContabeis_Tur,USP,Acad,"(1973.8, 1978.2]","(1969.8, 1974.7]","(16.4, 22.6]","(28.4, 42.6]","(36, 45]","(0.972, 1.237]","(132.4, 165.5]","(123.6, 154.5]","[0, 7.2]","(7.9, 15.8]","(36.3, 48.4]","(21.6, 32.4]","(22.5, 30]","(8.6, 17.2]","(8.4, 16.8]","(9, 13.5]","(15.3, 20.4]","(320, 445]","(4.6, 9.2]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
Admin_CienContabeis_Tur,FUCAPE,Prof,,"(1999.2, 2004.1]","(10.2, 16.4]","(86.2, 104.8]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(172.5, 211]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,PUC-RIO,Acad,"(1995.8, 2000.2]","(1969.8, 1974.7]","(16.4, 22.6]","(56.8, 71]","(9, 18]","(3.767, 6.772]","(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(15.8, 23.7]","(24.2, 36.3]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","[0, 4.5]","(5.1, 10.2]","(172.5, 211]","(4.6, 9.2]","(30.4, 45.6]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,PUC-RIO,Prof,,"(1994.3, 1999.2]","(16.4, 22.6]","(86.2, 104.8]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(15.8, 23.7]","(24.2, 36.3]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","[0, 4.5]","(5.1, 10.2]","(172.5, 211]","[0, 4.6]","(30.4, 45.6]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,PUC/MG,Prof,,"(1999.2, 2004.1]","(10.2, 16.4]","(71, 86.2]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(18, 22.5]","[0, 5.1]","(67, 100.5]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,PUC/PR,Acad,"(2004.6, 2009]","(1999.2, 2004.1]","(10.2, 16.4]","(86.2, 104.8]","[0, 9]","(6.772, 87]","(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(15, 22.5]","(17.2, 25.8]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(211, 254.5]","(4.6, 9.2]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,PUC/RS,Acad,,"(2004.1, 2009]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(15, 22.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(100.5, 137]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UFPE,Acad,"(1995.8, 2000.2]","(1994.3, 1999.2]","(16.4, 22.6]","(104.8, 126.4]","(9, 18]","(6.772, 87]","(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","(24.2, 36.3]","(21.6, 32.4]","(22.5, 30]","(17.2, 25.8]","[0, 8.4]","[0, 4.5]","(5.1, 10.2]","(320, 445]","[0, 4.6]","(45.6, 60.8]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UFRJ,Acad,"(1973.8, 1978.2]","(1969.8, 1974.7]","(22.6, 28.8]","(104.8, 126.4]","(9, 18]","(6.772, 87]","(66.2, 99.3]","(61.8, 92.7]","(7.2, 14.4]","(31.6, 39.5]","(12.1, 24.2]","(10.8, 21.6]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(137, 172.5]","(4.6, 9.2]","(45.6, 60.8]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UNB,Acad,"(2004.6, 2009]","(1974.7, 1979.6]","(16.4, 22.6]","(28.4, 42.6]","[0, 9]","(6.772, 87]","(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(9, 13.5]","(15.3, 20.4]","(137, 172.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UNINOVE,Acad,"(2004.6, 2009]","(2004.1, 2009]","(16.4, 22.6]","(42.6, 56.8]","[0, 9]",,"(99.3, 132.4]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(30, 37.5]","[0, 8.6]","(8.4, 16.8]","(9, 13.5]","(15.3, 20.4]","(254.5, 320]","(4.6, 9.2]","(76, 92.4]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UNISINOS,Acad,"(2004.6, 2009]","(1999.2, 2004.1]","(10.2, 16.4]","(71, 86.2]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UNIVALI,Acad,,"(1994.3, 1999.2]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UPM,Acad,"(2000.2, 2004.6]","(1994.3, 1999.2]","(16.4, 22.6]","(71, 86.2]","(18, 27]","(2.719, 3.767]","(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","(24.2, 36.3]","(10.8, 21.6]","(37.5, 45]","[0, 8.6]","(8.4, 16.8]","(4.5, 9]","[0, 5.1]","(172.5, 211]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,FJP,Acad,,"(1994.3, 1999.2]","(10.2, 16.4]","(86.2, 104.8]","[0, 9]",,"(33.1, 66.2]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(33.5, 67]","[0, 4.6]","(15.2, 30.4]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,FUCAPE,Acad,"(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(15, 22.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,FURB,Acad,,"(1994.3, 1999.2]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",,"(132.4, 165.5]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(30, 37.5]","(17.2, 25.8]","(8.4, 16.8]","(27, 33]","(5.1, 10.2]","(320, 445]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]",Quatro
Admin_CienContabeis_Tur,FURB,Acad,"(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]",,"(132.4, 165.5]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(37.5, 45]","(25.8, 34.4]","(16.8, 25.2]","(22.5, 27]","(5.1, 10.2]","(320, 445]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,IBMEC,Prof,,"(1994.3, 1999.2]","(10.2, 16.4]","(159.8, 293]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","[0, 12.1]","(10.8, 21.6]","[0, 7.5]","(8.6, 17.2]","(8.4, 16.8]","(13.5, 18]","(5.1, 10.2]","(137, 172.5]","(4.6, 9.2]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,PUC/MG,Acad,"(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(100.5, 137]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,PUC/SP,Acad,,"(1974.7, 1979.6]","(10.2, 16.4]","(126.4, 159.8]","[0, 9]",,"(99.3, 132.4]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","(16.8, 25.2]","(13.5, 18]","(15.3, 20.4]","(137, 172.5]","[0, 4.6]","(76, 92.4]","[0, 2.9]","[0, 6.2]","(6.2, 9.3]",Quatro
Admin_CienContabeis_Tur,UEM,Acad,,"(1999.2, 2004.1]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(172.5, 211]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFBA,Acad,"(1991.4, 1995.8]","(1979.6, 1984.5]","(22.6, 28.8]","(42.6, 56.8]","(18, 27]","(1.926, 2.252]","(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(21.6, 32.4]","(22.5, 30]","(8.6, 17.2]","(8.4, 16.8]","(22.5, 27]","(5.1, 10.2]","(320, 445]","(9.2, 13.8]","(76, 92.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
Admin_CienContabeis_Tur,UFBA,Prof,,"(1994.3, 1999.2]","(22.6, 28.8]","(86.2, 104.8]","[0, 9]",,"(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(21.6, 32.4]","(15, 22.5]","(8.6, 17.2]","(8.4, 16.8]","(13.5, 18]","[0, 5.1]","(254.5, 320]","(4.6, 9.2]","(92.4, 111.4]","[0, 2.9]","[0, 6.2]","(12.4, 15.5]",Quatro
Admin_CienContabeis_Tur,UFLA,Acad,"(1995.8, 2000.2]","(1974.7, 1979.6]","(16.4, 22.6]","(56.8, 71]","(9, 18]","(3.767, 6.772]","(99.3, 132.4]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","(8.6, 17.2]","(8.4, 16.8]","(9, 13.5]","(15.3, 20.4]","(254.5, 320]","(4.6, 9.2]","(30.4, 45.6]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFMG,Acad,,"(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","[0, 10.8]","(15, 22.5]","(8.6, 17.2]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFPB/J.P.,Acad,,"(1974.7, 1979.6]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(100.5, 137]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFPR,Acad,"(2000.2, 2004.6]","(1989.4, 1994.3]","(16.4, 22.6]","(86.2, 104.8]","[0, 9]","(6.772, 87]","(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(10.2, 15.3]","(137, 172.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFRGS,Prof,,"(1994.3, 1999.2]","(22.6, 28.8]","[0, 14.2]","[0, 9]",,"(132.4, 165.5]","(92.7, 123.6]","(7.2, 14.4]","(15.8, 23.7]","(24.2, 36.3]","(21.6, 32.4]","(7.5, 15]","(8.6, 17.2]","(8.4, 16.8]","(9, 13.5]","(10.2, 15.3]","(320, 445]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFRJ,Acad,,"(1994.3, 1999.2]","[4, 10.2]","(28.4, 42.6]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","(17.2, 25.8]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(100.5, 137]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFRN,Acad,"(2004.6, 2009]","(1974.7, 1979.6]","(10.2, 16.4]","(56.8, 71]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","(8.6, 17.2]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFSC,Acad,"(2004.6, 2009]","(1974.7, 1979.6]","(16.4, 22.6]","(42.6, 56.8]","[0, 9]",,"(132.4, 165.5]","(92.7, 123.6]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(10.8, 21.6]","(22.5, 30]","(17.2, 25.8]","(8.4, 16.8]","(18, 22.5]","(10.2, 15.3]","(254.5, 320]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFSC,Acad,,"(1999.2, 2004.1]","[4, 10.2]","(28.4, 42.6]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(15, 22.5]","(17.2, 25.8]","(8.4, 16.8]","(18, 22.5]","[0, 5.1]","(254.5, 320]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UFSM,Acad,,"(1999.2, 2004.1]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(15, 22.5]","(8.6, 17.2]","(16.8, 25.2]","[0, 4.5]","[0, 5.1]","(211, 254.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UNB,Acad,"(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","(71, 86.2]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(22.5, 30]","(8.6, 17.2]","[0, 8.4]","(13.5, 18]","(10.2, 15.3]","(137, 172.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]",Quatro
Admin_CienContabeis_Tur,UNESA,Prof,,"(1989.4, 1994.3]","[4, 10.2]","(86.2, 104.8]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","(8.4, 16.8]","(13.5, 18]","[0, 5.1]","(137, 172.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UniFECAP,Acad,,"(1994.3, 1999.2]","(10.2, 16.4]","(56.8, 71]","[0, 9]",,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(100.5, 137]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UNIFOR,Acad,,"(1994.3, 1999.2]","(10.2, 16.4]","(56.8, 71]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","(7.9, 15.8]","[0, 12.1]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(172.5, 211]","(4.6, 9.2]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UNIGRANRIO,Acad,,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","(5.1, 10.2]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UNIMEP,Prof,,"(1999.2, 2004.1]","(10.2, 16.4]","(56.8, 71]","[0, 9]",,"(33.1, 66.2]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(67, 100.5]","(9.2, 13.8]","(76, 92.4]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]",Quatro
Admin_CienContabeis_Tur,UNISINOS,Acad,,"(1999.2, 2004.1]","[4, 10.2]","(56.8, 71]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(13.5, 18]","(5.1, 10.2]","(100.5, 137]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UNIVALI,Acad,"(2004.6, 2009]","(1999.2, 2004.1]","(16.4, 22.6]","(42.6, 56.8]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(15, 22.5]","(8.6, 17.2]","(8.4, 16.8]","(13.5, 18]","[0, 5.1]","(211, 254.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]",Quatro
Admin_CienContabeis_Tur,UP,Acad,"(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","(56.8, 71]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,UPM,Prof,,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(15, 22.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,USCS,Acad,,"(1999.2, 2004.1]","(10.2, 16.4]","(56.8, 71]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(15, 22.5]","[0, 8.6]","(8.4, 16.8]","(13.5, 18]","(5.1, 10.2]","(137, 172.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,USP/RP,Acad,,"(1999.2, 2004.1]","(16.4, 22.6]","(71, 86.2]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","(8.4, 16.8]","(18, 22.5]","(5.1, 10.2]","(172.5, 211]","(4.6, 9.2]","(15.2, 30.4]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,USP/RP,Acad,,"(2004.1, 2009]","(10.2, 16.4]","(14.2, 28.4]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","(8.4, 16.8]","(4.5, 9]","[0, 5.1]","(137, 172.5]","(13.8, 18.4]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Admin_CienContabeis_Tur,FESP/UPE,Prof,,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","[0, 33.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Tres
Admin_CienContabeis_Tur,FGV/SP,Prof,,"(2004.1, 2009]","(16.4, 22.6]","[0, 14.2]","[0, 9]",,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","[0, 33.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Tres
Admin_CienContabeis_Tur,FNH,Acad,,"(2004.1, 2009]","(10.2, 16.4]","(126.4, 159.8]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(172.5, 211]","(4.6, 9.2]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]",Tres
Admin_CienContabeis_Tur,FPL,Prof,,"(1999.2, 2004.1]","(10.2, 16.4]","(126.4, 159.8]","[0, 9]",,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(33.5, 67]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Tres
Admin_CienContabeis_Tur,FUCAPE,Acad,,"(2004.1, 2009]","(10.2, 16.4]","(14.2, 28.4]","[0, 9]",,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(15, 22.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(172.5, 211]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Tres
Admin_CienContabeis_Tur,FUMEC,Acad,"(2004.6, 2009]","(2004.1, 2009]","(16.4, 22.6]","(86.2, 104.8]","[0, 9]",,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(15, 22.5]","(8.6, 17.2]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(100.5, 137]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Tres
Admin_CienContabeis_Tur,Insper,Prof,,"(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","(7.2, 14.4]","(7.9, 15.8]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(10.2, 15.3]","(67, 100.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Tres
